,Price,Open,High,Low,Vol,Change,Sentiment,Sentiment_High,Sentiment_Low,News_Volume,News_Buzz
2013-01-01,94.82857142857144,94.58333333333334,95.34571428571428,93.97380952380954,20833904.76190476,0.002885714285714286,-0.9999999999999999,1.2916666666666665,-3.0416666666666665,4.125,7.479166666666667
2013-02-01,95.32157894736841,95.61105263157897,96.2405263157895,94.54736842105265,21680421.05263158,-0.0029842105263157893,-0.7857142857142858,2.482142857142857,-3.714285714285714,3.25,6.321428571428571
2013-03-01,92.95700000000001,92.6815,93.499,91.98299999999999,20138050.0,0.0027700000000000003,-0.6935483870967742,1.7741935483870968,-3.403225806451613,3.370967741935484,5.912903225806452
2013-04-01,92.06772727272728,92.19909090909093,92.97090909090907,90.79999999999997,24677545.454545453,-0.0016818181818181823,-1.1,1.4666666666666666,-3.1,7.133333333333334,5.706666666666666
2013-05-01,94.7347619047619,94.66285714285716,95.51523809523809,93.34666666666666,27939285.714285713,-0.00024285714285714289,0.46774193548387094,3.693548387096774,-2.9838709677419355,9.241935483870968,4.774193548387097
2013-06-01,95.80050000000001,95.51149999999998,96.553,94.62899999999999,24584250.0,0.0025050000000000003,-0.3333333333333333,3.066666666666667,-3.3333333333333335,7.066666666666666,3.6
2013-07-01,104.69863636363638,104.3840909090909,105.55409090909089,103.39318181818182,24463954.545454547,0.0038227272727272736,-0.41935483870967744,2.725806451612903,-2.838709677419355,7.306451612903226,4.983870967741935
2013-08-01,106.53909090909092,106.44272727272731,107.53454545454547,105.40045454545452,24106090.90909091,0.0012045454545454547,-0.7096774193548387,2.2580645161290325,-3.7096774193548385,9.209677419354838,5.645161290322581
2013-09-01,106.2355,106.39200000000001,107.14950000000002,105.11949999999999,22915550.0,-0.002035,-1.1333333333333333,2.7,-4.533333333333333,10.233333333333333,4.4
2013-10-01,100.55260869565215,100.66826086956522,101.41521739130438,99.66739130434786,22356173.913043477,-0.0025434782608695656,-0.9032258064516129,2.096774193548387,-3.6774193548387095,8.5,4.451612903225806
2013-11-01,93.93149999999999,94.0775,94.7995,93.2285,22555100.0,-0.0018700000000000001,-1.0,2.9,-4.316666666666666,10.416666666666666,6.183333333333334
2013-12-01,97.8942857142857,97.64095238095238,98.42761904761905,97.18428571428574,17427571.42857143,0.0028809523809523803,-0.3548387096774194,2.5483870967741935,-3.338709677419355,7.806451612903226,4.741935483870968
2014-01-01,94.85666666666667,94.97238095238097,95.77714285714286,94.13999999999999,21384142.85714286,-0.0002761904761904761,0.7419354838709677,3.806451612903226,-2.870967741935484,7.580645161290323,6.161290322580645
2014-02-01,100.67526315789473,100.5,101.33947368421053,99.81894736842105,20708526.315789472,0.002573684210526316,-0.48214285714285715,2.2857142857142856,-2.8392857142857144,6.446428571428571,4.553571428571429
2014-03-01,100.50904761904765,100.52714285714286,101.33999999999999,99.64904761904761,21876380.95238095,-0.00041428571428571426,-0.3870967741935484,2.4838709677419355,-3.3225806451612905,6.903225806451613,7.709677419354839
2014-04-01,102.03476190476188,102.03333333333333,102.76333333333332,101.3404761904762,22449857.14285714,-0.0008190476190476189,-0.8,3.033333333333333,-4.366666666666666,7.383333333333334,6.183333333333334
2014-05-01,101.79476190476188,101.69999999999999,102.3552380952381,101.21619047619048,20853619.04761905,0.0014523809523809526,-0.7741935483870968,2.4193548387096775,-3.564516129032258,6.0,5.451612903225806
2014-06-01,105.14666666666666,105.05761904761906,105.76285714285716,104.46380952380952,19626047.61904762,0.0012380952380952378,-1.5833333333333333,1.9,-4.066666666666666,15.0,7.3
2014-07-01,102.39181818181818,102.55272727272728,103.195,101.59363636363636,23351000.0,-0.003022727272727273,-1.0806451612903225,2.629032258064516,-4.129032258064516,9.048387096774194,5.129032258064516
2014-08-01,96.07619047619048,95.99714285714283,96.73619047619047,95.29999999999998,21852000.0,-0.0010285714285714288,-1.0,2.7096774193548385,-4.112903225806452,9.370967741935484,6.741935483870968
2014-09-01,93.0342857142857,93.19809523809525,94.1,92.04761904761904,26464809.523809522,-0.002261904761904762,-2.2333333333333334,0.9666666666666667,-4.566666666666666,11.75,5.766666666666667
2014-10-01,84.3391304347826,84.70565217391304,85.55913043478263,83.18391304347826,31192608.695652176,-0.005269565217391304,-2.870967741935484,0.41935483870967744,-4.903225806451613,21.612903225806452,5.645161290322581
2014-11-01,75.81,76.47789473684213,77.35842105263157,74.90105263157896,30776157.89473684,-0.006394736842105262,-3.1666666666666665,0.06666666666666667,-4.933333333333334,24.45,7.266666666666667
2014-12-01,59.28954545454544,59.85772727272727,60.95636363636363,58.1409090909091,29830227.272727273,-0.009518181818181818,-2.838709677419355,0.45161290322580644,-4.806451612903226,41.193548387096776,4.854838709677419
2015-01-01,47.3255,47.58200000000001,48.83650000000001,46.124,36551050.0,-0.0045249999999999995,-3.161290322580645,-0.0967741935483871,-5.0,51.32258064516129,6.67741935483871
2015-02-01,50.72473684210526,50.623684210526314,52.14421052631579,49.176315789473676,44541894.7368421,0.0016052631578947374,-2.4285714285714284,1.3928571428571428,-4.892857142857143,34.035714285714285,6.821428571428571
2015-03-01,47.85409090909091,47.94818181818182,48.94909090909091,46.719090909090916,34952590.90909091,-0.00165,-2.6774193548387095,0.7741935483870968,-5.0,29.258064516129032,7.419354838709677
2015-04-01,54.62809523809524,54.07190476190476,55.463333333333324,53.294761904761906,36354714.28571428,0.011190476190476192,-2.066666666666667,1.6,-4.466666666666667,24.166666666666668,6.6
2015-05-01,59.372,59.46600000000001,60.38250000000001,58.49150000000001,31724850.0,0.0006749999999999999,-2.1930016402405688,1.775287042099508,-4.612903225806452,15.176052487698195,6.163477310005469
2015-06-01,59.82863636363638,59.82636363636364,60.569545454545455,58.97636363636364,29724545.454545453,-0.0004818181818181814,-2.741525423728814,1.5169491525423728,-5.0,14.978813559322033,7.033898305084747
2015-07-01,50.92999999999999,51.44954545454545,52.12863636363636,50.24818181818182,32603227.272727273,-0.00921818181818182,-2.495762711864407,2.0084745762711864,-5.0,21.614406779661014,8.016949152542372
2015-08-01,42.88904761904762,42.774761904761895,43.84095238095238,41.785714285714285,39231380.952380955,0.0028476190476190467,-2.2457627118644066,2.5084745762711864,-5.0,28.364406779661014,9.016949152542374
2015-09-01,45.46523809523809,45.577619047619045,46.53190476190476,44.44380952380952,37943333.333333336,-0.002209523809523809,-1.9423728813559322,2.598587570621469,-4.933333333333334,30.839265536723165,8.230508474576272
2015-10-01,46.289545454545454,46.35363636363636,47.295454545454554,45.45181818181819,37753727.27272727,0.0017909090909090904,-1.4516129032258065,2.532258064516129,-4.612903225806452,34.54838709677419,5.17741935483871
2015-11-01,42.922999999999995,43.283,43.921499999999995,42.254999999999995,39394350.0,-0.004845,-2.0166666666666666,1.95,-4.716666666666667,22.116666666666667,5.083333333333333
2015-12-01,37.32727272727273,37.59909090909091,38.285000000000004,36.69,39548454.54545455,-0.0049000000000000024,-4.457842046718576,-1.9802002224694104,-5.0,65.23381535038932,9.522358175750833
2016-01-01,31.77578947368421,32.02421052631579,33.113157894736844,30.850526315789473,54687947.368421055,-0.004989473684210525,-4.462068965517242,-1.9241379310344826,-5.0,70.16551724137932,9.462068965517242
2016-02-01,30.616500000000002,30.795000000000005,31.936500000000002,29.700499999999998,57326400.0,-0.0005300000000000006,-4.048275862068965,-1.0965517241379312,-5.0,61.06206896551724,9.048275862068966
2016-03-01,37.9609090909091,37.82818181818181,38.739999999999995,37.082727272727276,49466136.36363637,0.0062545454545454545,-3.6344827586206896,-0.2689655172413793,-5.0,51.95862068965517,8.634482758620688
2016-04-01,41.1247619047619,40.773809523809526,41.84428571428572,40.07285714285714,55322714.28571428,0.009019047619047618,-3.3103448275862073,0.3793103448275862,-5.0,44.827586206896555,8.310344827586206
2016-05-01,46.79666666666668,46.73571428571429,47.55142857142858,46.00857142857142,53329428.571428575,0.0031761904761904752,-3.131034482758621,0.7379310344827587,-5.0,40.88275862068966,8.131034482758622
2016-06-01,48.85318181818183,48.88318181818182,49.592272727272714,47.980454545454556,47357590.90909091,-0.00041363636363636337,-3.5462582538517964,-1.522303741746148,-4.929787234042554,17.905979457079972,9.785619955979458
2016-07-01,44.79950000000001,45.1725,45.7665,44.16199999999999,46718550.0,-0.006850000000000002,-2.2765957446808502,1.021276595744681,-4.425531914893615,18.48936170212766,8.553191489361703
2016-08-01,44.79913043478261,44.63260869565217,45.45260869565218,43.93391304347826,50370826.08695652,0.0034130434782608716,-0.9560741249142072,2.3551818805765268,-3.635895676046671,8.5885380919698,12.428277282086478
2016-09-01,45.22571428571428,45.12285714285714,46.03666666666667,44.34809523809523,54164666.666666664,0.0033714285714285717,-2.533333333333333,0.5833333333333334,-4.633333333333334,3.783333333333333,21.783333333333335
2016-10-01,49.94,49.957619047619055,50.57952380952381,49.273809523809526,51539523.809523806,-0.0012476190476190482,-2.1451612903225805,0.8548387096774194,-4.258064516129032,3.370967741935484,22.20967741935484
2016-11-01,45.76428571428571,45.609047619047615,46.575714285714284,44.741904761904756,58093857.14285714,0.002985714285714285,-1.7,2.2333333333333334,-4.666666666666667,4.433333333333334,37.53333333333333
2016-12-01,52.16571428571429,51.97333333333332,52.75714285714285,51.41380952380954,50667047.61904762,0.003923809523809524,-1.4838709677419355,2.064516129032258,-4.564516129032258,1.903225806451613,24.870967741935484
2017-01-01,52.61842105263158,52.82473684210527,53.505263157894746,52.07842105263157,53236421.05263158,-0.002263157894736842,-2.338709677419355,0.8870967741935484,-4.548387096774194,2.9838709677419355,22.774193548387096
2017-02-01,53.4621052631579,53.386842105263156,53.98473684210526,52.936315789473674,47862894.7368421,0.0006842105263157894,-2.8035714285714284,-0.9285714285714286,-4.321428571428571,4.285714285714286,25.25
2017-03-01,49.67391304347826,49.8986956521739,50.37521739130435,49.17260869565219,50161173.91304348,-0.0026739130434782605,-2.161290322580645,1.1774193548387097,-4.67741935483871,4.306451612903226,27.85483870967742
2017-04-01,51.57333333333333,51.153333333333336,51.99166666666667,50.88166666666667,57651166.666666664,0.00805,-0.75,2.4583333333333335,-3.4166666666666665,7.541666666666667,18.916666666666668
